Brand,OS_Platform,Resolution_Type,Inches,Launch_Year,Price,Review_Count,Rating
Thomson,Google TV,Ultra HD (4K),50.0,2025,24999,5397,4.4
LG,WebOS,Ultra HD (4K),50.0,2025,37990,1690,4.4
MOTOROLA,Google TV,Ultra HD (4K),65.0,2023,39999,732,4.3
Hisense,Google TV,Ultra HD (4K),75.0,2024,82999,456,4.2
Infinix,Linux,Full HD,40.0,2025,13999,30,3.9
XIAOMI,Google TV,Ultra HD (4K),55.0,2024,41999,141,4.0
Foxsky,Google TV,HD Ready,32.0,2024,7499,1045,4.3
Foxsky,Android,HD Ready,32.0,2023,6999,1855,4.1
MOTOROLA,Google TV,Ultra HD (4K),65.0,2023,39999,732,4.3
LG,WebOS,Ultra HD (4K),65.0,2018,99999,938,4.5
XIAOMI,FireTv OS,HD Ready,32.0,2025,11999,6401,4.3
Hisense,Google TV,Full HD,43.0,2024,19499,483,4.2
Blaupunkt,Android,HD Ready,32.0,2023,9999,3509,4.4
Infinix,Linux,Full HD,40.0,2025,13999,30,3.9
Coocaa,Google TV,Full HD,43.0,2025,18999,3,4.5
Thomson,Android,HD Ready,32.0,2023,9499,21799,4.3
Samsung,Google TV,Ultra HD (4K),55.0,2025,41990,3724,4.3
XIAOMI,FireTv OS,Ultra HD (4K),55.0,2025,37999,141,4.0
Sansui,Google TV,HD Ready,32.0,2024,10799,2,4.3
Foxsky,Android,Full HD,40.0,2023,11999,1855,4.1
Foxsky,Google TV,Ultra HD (4K),43.0,2024,16999,1045,4.3
XIAOMI,Google TV,Ultra HD (4K),55.0,2025,42999,141,4.0
LG,WebOS,Ultra HD (4K),65.0,2022,66990,382,4.5
MOTOROLA,Google TV,Ultra HD (4K),55.0,2023,32999,771,4.3
Samtonic,Android,HD Ready,24.0,2023,5890,9,3.9
Thomson,Linux,HD Ready,50.0,2023,5899,6250,4.3
LG,WebOS,Ultra HD (4K),55.0,2025,43990,1690,4.4
LG,WebOS,Ultra HD (4K),50.0,2025,37990,1690,4.4
Sansui,Google TV,Full HD,40.0,2023,19490,244,4.2
Blaupunkt,Android,Ultra HD (4K),55.0,2021,29599,1807,4.5
Foxsky,Google TV,HD Ready,32.0,2024,7499,1045,4.3
Foxsky,Android,HD Ready,32.0,2023,6999,1855,4.1
Thomson,Android,Full HD,42.0,2023,14499,21799,4.3
Thomson,Google TV,Ultra HD (4K),50.0,2023,23999,9600,4.4
iFFALCON,Google TV,Ultra HD (4K),55.0,2024,25999,8497,4.2
SONY,Google TV,Ultra HD (4K),55.0,2023,62999,226,4.7
XIAOMI,FireTv OS,HD Ready,32.0,2025,11999,6401,4.3
Hisense,Google TV,Full HD,43.0,2024,19499,483,4.2
Reliance,Android,HD Ready,32.0,2025,9999,0,4.2
XIAOMI,Google TV,Ultra HD (4K),55.0,2025,37999,5753,4.3
Samsung,Google TV,Ultra HD (4K),55.0,2025,41990,3724,4.3
Foxsky,Google TV,Ultra HD (4K),43.0,2024,16999,1045,4.3
Samtonic,Android,HD Ready,24.0,2023,5890,9,3.9
ONIDA,Coolita,HD Ready,32.0,2024,10890,126,4.2
Samsung,Google TV,HD Ready,32.0,2020,20900,2443,4.4
TCL,Android,HD Ready,32.0,2024,9490,1907,4.1
XIAOMI,FireTv OS,Ultra HD (4K),55.0,2025,37999,141,4.0
XIAOMI,Google TV,Ultra HD (4K),55.0,2025,42999,141,4.0
iFFALCON,Android,HD Ready,32.0,2024,8999,8497,4.2
iFFALCON,Google TV,Ultra HD (4K),43.0,2024,17999,8497,4.2
LG,WebOS,Ultra HD (4K),55.0,2025,43990,1690,4.4
LG,WebOS,Ultra HD (4K),50.0,2025,37990,1690,4.4
ONIDA,Google TV,Ultra HD (4K),43.0,2024,24990,126,4.2
Thomson,Linux,Full HD,43.0,2023,14499,6250,4.3
Coocaa,Google TV,Ultra HD (4K),43.0,2024,20999,59,4.2
Hisense,Google TV,Ultra HD (4K),75.0,2023,99999,48,4.2
Foxsky,Google TV,HD Ready,32.0,2024,7499,1045,4.3
Foxsky,Android,HD Ready,32.0,2023,6999,1855,4.1
TCL,Google TV,Ultra HD (4K),98.0,2024,409990,8,4.1
MarQ,Google TV,HD Ready,32.0,2023,7099,648,4.1
