Brand,OS_Platform,Resolution_Type,Inches,Launch,Price,Review_Count,Rating
TCL,Google TV,Ultra HD (4K),43,2023,"₹27,900",286,4.2
BESTON,Android,Full HD,40,2025,"₹12,499",48,4
XIAOMI,Google TV,Ultra HD (4K),55,2025,"₹42,999",141,4
XIAOMI,Google TV,HD Ready,32,2025,"₹13,999",141,4
KODAK,Android,Full HD,42,2023,"₹14,499","7,747",4.4
BESTON,Google TV,Ultra HD (4K),65,2025,"₹40,999",7,4.3
BESTON,Google TV,Ultra HD (4K),43,2025,"₹18,999",7,4.3
Blaupunkt,Linux,HD Ready,24,2022,"₹5,999",244,4
Thomson,Google TV,Ultra HD (4K),43,2023,"₹19,999","5,401",4.4
XIAOMI,FireTv OS,Ultra HD (4K),43,2025,"₹24,999","5,753",4.3
Blaupunkt,Android,Full HD,40,2025,"₹15,499","2,755",4.5
Acer,Google TV,Ultra HD (4K),43,2024,"₹19,999",173,4
Foxsky,Google TV,HD Ready,32,2024,"₹7,499","1,062",4.3
Foxsky,Android,HD Ready,32,2023,"₹6,999","1,867",4.1
Samsung,,Ultra HD (4K),65,2023,"₹69,990","3,730",4.3
Daiwa,WebOS,Ultra HD (4K),43,2024,"₹16,989",359,4.2
TCL,Google TV,Ultra HD (4K),75,2025,"₹89,990",14,4.3
TCL,Google TV,Ultra HD (4K),65,2025,"₹64,990",14,4.3
Samsung,,Ultra HD (4K),43,2025,"₹29,490","3,730",4.3
Samsung,,Ultra HD (4K),43,2025,"₹28,990","1,261",4.3
TOSHIBA,Google TV,Ultra HD (4K),65,2023,"₹57,999",803,4.3
Thomson,Android,Ultra HD (4K),43,2021,"₹17,999","5,545",4.3
XIAOMI,FireTv OS,Ultra HD (4K),55,2025,"₹37,999",141,4
Thomson,Google TV,Ultra HD (4K),43,2023,"₹19,999","5,401",4.4
Samsung,Android,HD Ready,32,2025,"₹14,090",7,3.9
Sansui,Google TV,Full HD,43,2023,"₹22,990",244,4.2
